quarter,ticker,name,sector,market_cap,composite_score,score_buffett,score_munger,score_duan,score_lynch,dim_business_quality,dim_financial_health,dim_growth,dim_management,dim_valuation,veto_triggered,veto_reasons,pe_ratio,pb_ratio,peg_ratio,ev_to_ebitda,roe_5y_avg,revenue_cagr_5y,eps_cagr_5y,years_of_data,data_quality_flags
2026-Q1,NVDA,NVIDIA Corporation,Technology,4500313837402.0,7.87,8.06,8.39,8.94,8.13,8.4,10.0,10.0,8.0,1.0,True,[林奇] EPS连续增长不足3年,37.470024569615305,28.60212113698639,1.748601146582047,31.130853342693285,0.6430369043825913,,,5,
2026-Q1,META,"Meta Platforms, Inc.",Communication Services,1577372695738.0,7.7083,7.7833,8.0583,8.6,8.075,8.0,8.6667,10.0,8.0,2.5,True,[林奇] EPS连续增长不足3年,26.082538373747063,7.258683156649465,7.460894001478031,15.336405049167643,0.26488712655854635,,,5,
2026-Q1,AVGO,Broadcom Inc.,Technology,1594017190401.0,7.2833,7.9333,8.3333,8.75,7.1,10.0,6.6667,8.0,9.0,0.0,True,[林奇] EPS连续增长不足3年,,,,,0.3662036929009307,,,5,missing_valuation_ttm
2026-Q1,GOOGL,Alphabet Inc.,Communication Services,3706037142291.0005,6.3417,7.0167,7.2417,6.95,5.525,8.0,9.3333,4.0,7.0,1.5,True,[林奇] EPS连续增长不足3年,27.981554740107434,8.905932573176164,4.20957801457793,20.740287325996963,0.28019984198868103,,,5,
2026-Q1,MSFT,Microsoft Corporation,Technology,2984657722200.0,6.14,7.02,7.13,6.53,4.91,8.8,8.0,2.0,7.0,3.0,True,[林奇] EPS连续增长不足3年,25.042909895859538,7.640978624880077,1.8201290182042245,16.111069066541265,0.35309887303641374,,,4,
2026-Q1,AAPL,Apple Inc.,Technology,3759141289816.0,4.99,6.2867,6.73,6.0133,3.4433,8.8,4.0,0.0,9.3333,1.0,True,[林奇] EPS连续增长不足3年,32.02653226079795,42.77116328472616,5.444510484335658,24.86833676397414,1.639225400754853,,,5,
2026-Q1,TSLA,"Tesla, Inc.",Consumer Cyclical,1492942964397.0,3.9667,4.6667,5.0667,4.3,2.8,4.0,9.3333,0.0,6.0,0.0,True,[巴菲特] 毛利率 18.0% < 25%; [芒格] 过去5年ROE > 10% 不足 3 年; [林奇] EPS连续增长不足3年; [林奇] PE=339.4 过高但EPS增速不足20%,339.398495914602,15.67719655575441,-12.100294202172767,126.4324731600646,0.16623079072544672,,,5,
2026-Q1,AMZN,"Amazon.com, Inc.",Consumer Cyclical,2247677784177.0,3.7317,4.2367,4.1717,3.53,2.735,4.8,7.3333,0.0,3.0,2.5,True,长期负债/FCF > 10.0; [林奇] EPS连续增长不足3年,28.856529033088705,5.452389792368604,26.006946791071172,13.982545734312723,0.13205112988230958,,,4,
2026-Q1,BRK-B,Berkshire Hathaway Inc.,Financial Services,1061948069575.0,3.55,3.8,3.7,3.5,3.05,4.0,9.0,2.0,1.0,0.0,True,[巴菲特] ROE 5年均值 8.8% < 12%; [芒格] 过去5年ROE > 10% 不足 3 年; [林奇] EPS连续增长不足3年,,,,,0.08843956355337573,,,5,missing_valuation_ttm
2026-Q1,JPM,JPMorgan Chase & Co.,Financial Services,772753716085.0,1.45,1.8,1.75,1.6,1.0,3.0,2.0,0.0,1.0,0.0,True,[林奇] EPS连续增长不足3年,,,,,0.1517527710837262,,,4,missing_valuation_ttm
